candidate_name,candidate_role,external_factor_name,snapshot_count,mean_score_displacement,mean_residual_gain,mean_mahalanobis_distance,out_of_envelope_rate,mean_residual_factor_signal_ratio
raw_static_pca_7,numerical_reconstruction_baseline,external_competition_pressure,156,0.0003145124092268566,0.0020982507293471737,2.8879256525994577,0.7692307692307693,3.9972131064440144
raw_static_pca_7,numerical_reconstruction_baseline,external_competition_pressure+external_information_noise,39,0.0004430575161728442,0.004084792359330918,2.90430965134593,0.8461538461538461,6.170601447599425
raw_static_pca_7,numerical_reconstruction_baseline,external_constraint_pressure,195,0.000228269604163817,0.0015951497998764122,2.7537047405271893,0.6974358974358974,3.5554678931535957
raw_static_pca_7,numerical_reconstruction_baseline,external_demand,195,0.00015565455041273812,-8.1751135532195e-06,2.8286468753838814,0.46153846153846156,0.05320863143225098
raw_static_pca_7,numerical_reconstruction_baseline,external_information_noise,195,0.00015526232773375358,0.0014164936364050972,2.777250804595308,0.6923076923076923,4.591250626866242
raw_static_pca_7,numerical_reconstruction_baseline,external_resource_supply,195,0.00022128576157941785,0.001138637451417234,2.758817706028214,0.6461538461538462,2.720285587121695
raw_static_pca_7,numerical_reconstruction_baseline,external_resource_supply+external_demand,39,0.00019301900850792633,0.0005048670154137831,2.866012406066471,0.46153846153846156,1.1068609098533138
raw_static_pca_7,numerical_reconstruction_baseline,external_shock,195,0.0009397304789387577,0.001619656825333663,2.603543761306594,0.6,0.7693157755694383
raw_static_pca_7,numerical_reconstruction_baseline,external_shock+external_constraint_pressure,39,0.0013211681500498139,0.0046204573159717415,2.5078131073902883,0.8461538461538461,2.3782473660771477
sqrt_sparse_temporal_lag_pca_10,temporal_audit_candidate,external_competition_pressure,156,0.004609992263661585,0.006646182856592147,3.0579002729160503,0.34615384615384615,0.8639278621745888
sqrt_sparse_temporal_lag_pca_10,temporal_audit_candidate,external_competition_pressure+external_information_noise,39,0.007672330174864266,0.012796837939409335,3.1099715851592538,0.23076923076923078,1.2195588606036072
sqrt_sparse_temporal_lag_pca_10,temporal_audit_candidate,external_constraint_pressure,195,0.0016116255299003358,0.005509182218892357,2.9979993682852486,0.3333333333333333,1.9351067962649064
sqrt_sparse_temporal_lag_pca_10,temporal_audit_candidate,external_demand,195,0.0012383374540936188,-0.0004339928841299285,2.9998931622352134,0.41025641025641024,-0.05182280561122503
sqrt_sparse_temporal_lag_pca_10,temporal_audit_candidate,external_information_noise,195,0.0016848851131508078,0.00560512372321709,2.9935773230413485,0.37435897435897436,1.805947976091848
sqrt_sparse_temporal_lag_pca_10,temporal_audit_candidate,external_resource_supply,195,0.0030832911712898583,0.002200776844670546,2.9627348635655855,0.38974358974358975,0.5729445752274611
sqrt_sparse_temporal_lag_pca_10,temporal_audit_candidate,external_resource_supply+external_demand,39,0.0021092352794231674,0.0015833490942897897,3.0306540344989097,0.38461538461538464,0.7935470294658015
sqrt_sparse_temporal_lag_pca_10,temporal_audit_candidate,external_shock,195,0.00923685396449767,0.006835019234100614,2.865965957480909,0.2512820512820513,0.37390101249064017
sqrt_sparse_temporal_lag_pca_10,temporal_audit_candidate,external_shock+external_constraint_pressure,39,0.014334018454175616,0.017329716383256352,2.8404125560140856,0.23076923076923078,0.8339016134698969
sqrt_static_pca_10,audit_focus_candidate,external_competition_pressure,156,0.004921589489023273,0.00622949599664833,3.191289750177017,0.38461538461538464,0.7484816672243518
sqrt_static_pca_10,audit_focus_candidate,external_competition_pressure+external_information_noise,39,0.008214118681170472,0.012083454855419907,3.2595036383615885,0.38461538461538464,1.043739562086009
sqrt_static_pca_10,audit_focus_candidate,external_constraint_pressure,195,0.0017970169149138559,0.005326768974900407,3.1183006119937193,0.37948717948717947,1.6312886835916653
sqrt_static_pca_10,audit_focus_candidate,external_demand,195,0.0013528854718515826,-0.0005623609386884535,3.117622777895368,0.4153846153846154,-0.11971385771922477
sqrt_static_pca_10,audit_focus_candidate,external_information_noise,195,0.0017206218634096386,0.0055520210894808185,3.107900968543992,0.38461538461538464,1.7309783871783555
sqrt_static_pca_10,audit_focus_candidate,external_resource_supply,195,0.00365359751210808,0.002722783794259742,3.0488683432770003,0.38974358974358975,0.567631689714117
sqrt_static_pca_10,audit_focus_candidate,external_resource_supply+external_demand,39,0.0023661592562702815,0.0015133738744798118,3.147087848133412,0.38461538461538464,0.5055403627372451
sqrt_static_pca_10,audit_focus_candidate,external_shock,195,0.009296872747810703,0.006951709314962416,2.9713903201154386,0.3384615384615385,0.37991659597110716
sqrt_static_pca_10,audit_focus_candidate,external_shock+external_constraint_pressure,39,0.014455604832094578,0.01711606666503798,2.960075004640555,0.38461538461538464,0.8157285389526374
sqrt_static_pca_12,higher_dimension_audit,external_competition_pressure,156,0.004975612338340514,0.0061617026149737835,3.494136414438162,0.40384615384615385,0.7291717181825924
sqrt_static_pca_12,higher_dimension_audit,external_competition_pressure+external_information_noise,39,0.008468114897847288,0.011841465766661712,3.571786039638883,0.46153846153846156,0.9808095039282433
sqrt_static_pca_12,higher_dimension_audit,external_constraint_pressure,195,0.0019338747004677024,0.0052179792481112045,3.425988684500897,0.4,1.4587569857507356
sqrt_static_pca_12,higher_dimension_audit,external_demand,195,0.0013617613879795705,-0.0005793620066710098,3.4192794370495343,0.4153846153846154,-0.13172492258360455
sqrt_static_pca_12,higher_dimension_audit,external_information_noise,195,0.0020109093805010278,0.005433366041571163,3.415577683626555,0.4,1.4128980048533135
sqrt_static_pca_12,higher_dimension_audit,external_resource_supply,195,0.0036910689166744512,0.002666682981292518,3.3538658314875827,0.38974358974358975,0.5501808386994446
sqrt_static_pca_12,higher_dimension_audit,external_resource_supply+external_demand,39,0.0023892248382152335,0.0014951913481249701,3.448632188109685,0.38461538461538464,0.47635907001072414
sqrt_static_pca_12,higher_dimension_audit,external_shock,195,0.009315832372142325,0.006795487145279276,3.2874463779336836,0.38461538461538464,0.3561514215411899
sqrt_static_pca_12,higher_dimension_audit,external_shock+external_constraint_pressure,39,0.014500839523524869,0.016821867373405425,3.286639216386935,0.46153846153846156,0.7813210302979856
sqrt_static_pca_7,continuity_baseline,external_competition_pressure,156,0.0034490952594488033,0.00915834263001231,2.5876840496531583,0.4423076923076923,1.3937519901266584
sqrt_static_pca_7,continuity_baseline,external_competition_pressure+external_information_noise,39,0.005770745430911632,0.017565129447571323,2.614538967396195,0.38461538461538464,1.90791003184224
sqrt_static_pca_7,continuity_baseline,external_constraint_pressure,195,0.001516009554881912,0.006095545470022792,2.546034512575696,0.48205128205128206,2.358289121294614
sqrt_static_pca_7,continuity_baseline,external_demand,195,0.0011276707999088526,-0.0003281177670360832,2.5538600541529264,0.5076923076923077,-0.09930775055187159
sqrt_static_pca_7,continuity_baseline,external_information_noise,195,0.0015869182058600255,0.006141392371314911,2.541551536235166,0.48717948717948717,2.1963656602572974
sqrt_static_pca_7,continuity_baseline,external_resource_supply,195,0.0026456785630473434,0.0018279069065584297,2.520857220186442,0.49743589743589745,0.8322899070336562
sqrt_static_pca_7,continuity_baseline,external_resource_supply+external_demand,39,0.0016978663354982899,0.0027547642448002264,2.572484752398448,0.48717948717948717,1.9406598887895166
sqrt_static_pca_7,continuity_baseline,external_shock,195,0.00860026140200357,0.005678567519385075,2.4305839377511247,0.46153846153846156,0.3675001642652041
sqrt_static_pca_7,continuity_baseline,external_shock+external_constraint_pressure,39,0.013898030879437208,0.018070825715893173,2.385617970122495,0.46153846153846156,1.0023585638570311
