artifact_name,generation_command,official_docs_artifact,reduced_run,short_run_configuration,n_bins,steps,available_fit_scenario_count,used_fit_scenario_count,available_holdout_scenario_count,used_holdout_scenario_count,available_fit_seed_count,used_fit_seed_count,available_holdout_seed_count,used_holdout_seed_count,snapshot_count,dataset_count,used_full_distribution,used_task3_1c_outputs,task3_1c_residual_decomposition_path,task3_1c_residual_terrain_path,task3_1c_auto_audit_flag_reason_path,task3_1c_residual_rows_loaded,task3_1c_terrain_rows_loaded,task3_1c_flag_reason_rows_loaded,source_data_path,notes
candidate_axis_catalog.csv,python scripts/pseudoreality_v3_3_full_distribution_semantic_axis_candidate_audit.py,True,False,False,5,12,32,32,7,7,3,3,2,2,1446,2,True,True,docs/task3_1c_external_envelope_residual_decomposition/compact_residual_decomposition_summary.csv,docs/task3_1c_external_envelope_residual_decomposition/compact_residual_terrain_summary.csv,docs/task3_1c_external_envelope_residual_decomposition/compact_auto_audit_flag_reason_summary.csv,15,195,15,DistributionTerrainV322World production path; full world.distribution snapshots; Task 3.1c compact residual artifacts,task3_1c_join_key=dataset; matched_relation_rows=78; unmatched_rate=0.000000
axis_value_summary.csv,python scripts/pseudoreality_v3_3_full_distribution_semantic_axis_candidate_audit.py,True,False,False,5,12,32,32,7,7,3,3,2,2,1446,2,True,True,docs/task3_1c_external_envelope_residual_decomposition/compact_residual_decomposition_summary.csv,docs/task3_1c_external_envelope_residual_decomposition/compact_residual_terrain_summary.csv,docs/task3_1c_external_envelope_residual_decomposition/compact_auto_audit_flag_reason_summary.csv,15,195,15,DistributionTerrainV322World production path; full world.distribution snapshots; Task 3.1c compact residual artifacts,task3_1c_join_key=dataset; matched_relation_rows=78; unmatched_rate=0.000000
axis_redundancy_summary.csv,python scripts/pseudoreality_v3_3_full_distribution_semantic_axis_candidate_audit.py,True,False,False,5,12,32,32,7,7,3,3,2,2,1446,2,True,True,docs/task3_1c_external_envelope_residual_decomposition/compact_residual_decomposition_summary.csv,docs/task3_1c_external_envelope_residual_decomposition/compact_residual_terrain_summary.csv,docs/task3_1c_external_envelope_residual_decomposition/compact_auto_audit_flag_reason_summary.csv,15,195,15,DistributionTerrainV322World production path; full world.distribution snapshots; Task 3.1c compact residual artifacts,task3_1c_join_key=dataset; matched_relation_rows=78; unmatched_rate=0.000000
axis_conditional_separation_summary.csv,python scripts/pseudoreality_v3_3_full_distribution_semantic_axis_candidate_audit.py,True,False,False,5,12,32,32,7,7,3,3,2,2,1446,2,True,True,docs/task3_1c_external_envelope_residual_decomposition/compact_residual_decomposition_summary.csv,docs/task3_1c_external_envelope_residual_decomposition/compact_residual_terrain_summary.csv,docs/task3_1c_external_envelope_residual_decomposition/compact_auto_audit_flag_reason_summary.csv,15,195,15,DistributionTerrainV322World production path; full world.distribution snapshots; Task 3.1c compact residual artifacts,task3_1c_join_key=dataset; matched_relation_rows=78; unmatched_rate=0.000000
axis_external_response_summary.csv,python scripts/pseudoreality_v3_3_full_distribution_semantic_axis_candidate_audit.py,True,False,False,5,12,32,32,7,7,3,3,2,2,1446,2,True,True,docs/task3_1c_external_envelope_residual_decomposition/compact_residual_decomposition_summary.csv,docs/task3_1c_external_envelope_residual_decomposition/compact_residual_terrain_summary.csv,docs/task3_1c_external_envelope_residual_decomposition/compact_auto_audit_flag_reason_summary.csv,15,195,15,DistributionTerrainV322World production path; full world.distribution snapshots; Task 3.1c compact residual artifacts,task3_1c_join_key=dataset; matched_relation_rows=78; unmatched_rate=0.000000
axis_temporal_response_summary.csv,python scripts/pseudoreality_v3_3_full_distribution_semantic_axis_candidate_audit.py,True,False,False,5,12,32,32,7,7,3,3,2,2,1446,2,True,True,docs/task3_1c_external_envelope_residual_decomposition/compact_residual_decomposition_summary.csv,docs/task3_1c_external_envelope_residual_decomposition/compact_residual_terrain_summary.csv,docs/task3_1c_external_envelope_residual_decomposition/compact_auto_audit_flag_reason_summary.csv,15,195,15,DistributionTerrainV322World production path; full world.distribution snapshots; Task 3.1c compact residual artifacts,task3_1c_join_key=dataset; matched_relation_rows=78; unmatched_rate=0.000000
axis_residual_relation_summary.csv,python scripts/pseudoreality_v3_3_full_distribution_semantic_axis_candidate_audit.py,True,False,False,5,12,32,32,7,7,3,3,2,2,1446,2,True,True,docs/task3_1c_external_envelope_residual_decomposition/compact_residual_decomposition_summary.csv,docs/task3_1c_external_envelope_residual_decomposition/compact_residual_terrain_summary.csv,docs/task3_1c_external_envelope_residual_decomposition/compact_auto_audit_flag_reason_summary.csv,15,195,15,DistributionTerrainV322World production path; full world.distribution snapshots; Task 3.1c compact residual artifacts,task3_1c_join_key=dataset; matched_relation_rows=78; unmatched_rate=0.000000
axis_macro_dynamics_preservation_summary.csv,python scripts/pseudoreality_v3_3_full_distribution_semantic_axis_candidate_audit.py,True,False,False,5,12,32,32,7,7,3,3,2,2,1446,2,True,True,docs/task3_1c_external_envelope_residual_decomposition/compact_residual_decomposition_summary.csv,docs/task3_1c_external_envelope_residual_decomposition/compact_residual_terrain_summary.csv,docs/task3_1c_external_envelope_residual_decomposition/compact_auto_audit_flag_reason_summary.csv,15,195,15,DistributionTerrainV322World production path; full world.distribution snapshots; Task 3.1c compact residual artifacts,task3_1c_join_key=dataset; matched_relation_rows=78; unmatched_rate=0.000000
axis_classification_summary.csv,python scripts/pseudoreality_v3_3_full_distribution_semantic_axis_candidate_audit.py,True,False,False,5,12,32,32,7,7,3,3,2,2,1446,2,True,True,docs/task3_1c_external_envelope_residual_decomposition/compact_residual_decomposition_summary.csv,docs/task3_1c_external_envelope_residual_decomposition/compact_residual_terrain_summary.csv,docs/task3_1c_external_envelope_residual_decomposition/compact_auto_audit_flag_reason_summary.csv,15,195,15,DistributionTerrainV322World production path; full world.distribution snapshots; Task 3.1c compact residual artifacts,task3_1c_join_key=dataset; matched_relation_rows=78; unmatched_rate=0.000000
results.md,python scripts/pseudoreality_v3_3_full_distribution_semantic_axis_candidate_audit.py,True,False,False,5,12,32,32,7,7,3,3,2,2,1446,2,True,True,docs/task3_1c_external_envelope_residual_decomposition/compact_residual_decomposition_summary.csv,docs/task3_1c_external_envelope_residual_decomposition/compact_residual_terrain_summary.csv,docs/task3_1c_external_envelope_residual_decomposition/compact_auto_audit_flag_reason_summary.csv,15,195,15,DistributionTerrainV322World production path; full world.distribution snapshots; Task 3.1c compact residual artifacts,task3_1c_join_key=dataset; matched_relation_rows=78; unmatched_rate=0.000000
artifact_manifest.csv,python scripts/pseudoreality_v3_3_full_distribution_semantic_axis_candidate_audit.py,True,False,False,5,12,32,32,7,7,3,3,2,2,1446,2,True,True,docs/task3_1c_external_envelope_residual_decomposition/compact_residual_decomposition_summary.csv,docs/task3_1c_external_envelope_residual_decomposition/compact_residual_terrain_summary.csv,docs/task3_1c_external_envelope_residual_decomposition/compact_auto_audit_flag_reason_summary.csv,15,195,15,DistributionTerrainV322World production path; full world.distribution snapshots; Task 3.1c compact residual artifacts,task3_1c_join_key=dataset; matched_relation_rows=78; unmatched_rate=0.000000
