scenario_type,baseline_name,mean_cumulative_gain,mean_safety_violation_rate,mean_over_action_rate,mean_recovery_score,mean_time_to_recover,mean_final_relation_lock,mean_exploration_capacity_retention,scenario_result_class
delayed_side_effect,ACTION_MODULE_RC1,0.0,0.0,0.0,0.576795,0.0,0.06,0.974884,safety_winner
delayed_side_effect,NO_ACTION,0.0,0.0,0.0,0.576795,0.0,0.06,0.974884,stable_but_inactive
delayed_side_effect,V2_GREEDY_OPTIMIZER,7.419979,0.0,0.416667,0.378726,0.0,0.324,0.712698,over_action_loser
hidden_fragility,ACTION_MODULE_RC1,0.0,0.0,0.0,0.576795,0.0,0.06,0.974884,safety_winner
hidden_fragility,NO_ACTION,0.0,0.0,0.0,0.576795,0.0,0.06,0.974884,stable_but_inactive
hidden_fragility,V2_GREEDY_OPTIMIZER,7.624937,0.0,0.916667,0.280512,0.0,0.324,0.64293,over_action_loser
high_opportunity_high_risk,ACTION_MODULE_RC1,0.0,0.0,0.0,0.597128,99.0,0.06,0.974884,safety_winner
high_opportunity_high_risk,NO_ACTION,0.0,0.0,0.0,0.525795,99.0,0.06,0.974884,stable_but_inactive
high_opportunity_high_risk,V2_GREEDY_OPTIMIZER,4.888033,0.0,0.0,0.544795,99.0,0.236975,0.787951,short_term_gain_winner
reaction_surface_drift,ACTION_MODULE_RC1,0.0,0.0,0.0,0.576795,0.0,0.06,0.974884,safety_winner
reaction_surface_drift,NO_ACTION,0.0,0.0,0.0,0.576795,0.0,0.06,0.974884,stable_but_inactive
reaction_surface_drift,V2_GREEDY_OPTIMIZER,5.631461,0.0,0.333333,0.431714,0.0,0.324,0.782465,over_action_loser
safety_boundary_shift,ACTION_MODULE_RC1,0.0,0.0,0.0,0.576795,0.0,0.06,0.974884,safety_winner
safety_boundary_shift,NO_ACTION,0.0,0.0,0.0,0.576795,0.0,0.06,0.974884,stable_but_inactive
safety_boundary_shift,V2_GREEDY_OPTIMIZER,3.368559,0.0,0.0,0.553528,0.0,0.236975,0.857718,short_term_gain_winner
shock_recovery,ACTION_MODULE_RC1,0.0,0.0,0.0,0.543295,99.0,0.06,0.974884,safety_winner
shock_recovery,NO_ACTION,0.0,0.0,0.0,0.543295,99.0,0.06,0.974884,stable_but_inactive
shock_recovery,V2_GREEDY_OPTIMIZER,5.73088,0.0,0.333333,0.439852,0.0,0.324,0.712698,over_action_loser
stable_closed_v2,ACTION_MODULE_RC1,0.0,0.0,0.0,0.5798,0.0,0.089497,0.93791,safety_winner
stable_closed_v2,NO_ACTION,0.0,0.0,0.0,0.576795,0.0,0.06,0.974884,stable_but_inactive
stable_closed_v2,V2_GREEDY_OPTIMIZER,7.072231,0.0,0.333333,0.418678,0.0,0.324,0.817349,over_action_loser
