noise_ledger_audit_contract,source_trace_fingerprint,source_world_t,noise_log_rows,noise_retained_rows,all_noise_retained,active_unresolved_noise_rows,persistent_unresolved_noise_rows,retained_monitored_noise_rows,retained_low_noise_rows,persistent_noise_rows,max_noise_score,max_unresolved_score,max_ambiguity_score,max_macro_micro_mismatch_score,unclassified_noise_discarded,ledger_available_for_exploration,loop_step,run_seed,run_scenario
residual_noise_ledger_audit__retain_all_noise_rows__Task4_RC1,10e313aa5bf34c4e,0,18,18,True,0,0,18,0,0,0.4762406821487226,0.48801069388428886,0.36443017788792,0.07154399224560105,False,True,0,1705,shock
residual_noise_ledger_audit__retain_all_noise_rows__Task4_RC1,8dd988466c3ccc5a,1,18,18,True,0,7,11,0,7,0.4916399551498216,0.5016355584559242,0.3809248947727948,0.0941664843489264,False,True,1,1705,shock
residual_noise_ledger_audit__retain_all_noise_rows__Task4_RC1,6fd2b2db69fd1b03,2,18,18,True,0,7,11,0,7,0.49876931405761704,0.49068849192168207,0.37054981355898575,0.1011385960993751,False,True,2,1705,shock
residual_noise_ledger_audit__retain_all_noise_rows__Task4_RC1,99efe6b4e32c5a6e,3,18,18,True,0,8,10,0,8,0.5159752304976215,0.5009835260829913,0.38078508730367955,0.10479160561110874,False,True,3,1705,shock
residual_noise_ledger_audit__retain_all_noise_rows__Task4_RC1,0069e31e38c0b031,4,18,18,True,0,8,10,0,8,0.5217892781586445,0.5155292664553524,0.3997981921186085,0.10623290351371373,False,True,4,1705,shock
residual_noise_ledger_audit__retain_all_noise_rows__Task4_RC1,6a14fb0ad415a07a,5,18,18,True,0,8,10,0,8,0.5376626420908001,0.5088202751526563,0.3910436594526188,0.11574457840885284,False,True,5,1705,shock
residual_noise_ledger_audit__retain_all_noise_rows__Task4_RC1,a5338a32b74b62cb,6,18,18,True,0,10,8,0,10,0.5591535269690876,0.5144095121099939,0.39941620276362905,0.12630516911861095,False,True,6,1705,shock
residual_noise_ledger_audit__retain_all_noise_rows__Task4_RC1,c8c197a9da061c2d,7,18,18,True,0,11,7,0,11,0.5801727371861228,0.5151707145065206,0.3991989614958615,0.13010597844388985,False,True,7,1705,shock
residual_noise_ledger_audit__retain_all_noise_rows__Task4_RC1,290f701635d15440,8,18,18,True,0,13,5,0,13,0.5992523346991429,0.5157198324941847,0.40535023652669766,0.1292348281967081,False,True,8,1705,shock
residual_noise_ledger_audit__retain_all_noise_rows__Task4_RC1,b4569a338a206aff,9,18,18,True,0,11,7,0,11,0.5706523345727018,0.5248631534265848,0.3990770583979417,0.142269779958294,False,True,9,1705,shock
residual_noise_ledger_audit__retain_all_noise_rows__Task4_RC1,ed636d81c433835b,10,18,18,True,0,11,7,0,11,0.5758859848669716,0.5317789026305448,0.41145471919488014,0.16767248728705897,False,True,10,1705,shock
residual_noise_ledger_audit__retain_all_noise_rows__Task4_RC1,dd66440193a706f6,11,18,18,True,0,12,6,0,12,0.5789569448555468,0.5360281112790557,0.4170716270427555,0.17969311226012172,False,True,11,1705,shock
residual_noise_ledger_audit__retain_all_noise_rows__Task4_RC1,ca5dd9c1b4cb2f8e,12,18,18,True,0,12,6,0,12,0.6148732436054178,0.5251615789828027,0.41184007269021244,0.18026434753934373,False,True,12,1705,shock
residual_noise_ledger_audit__retain_all_noise_rows__Task4_RC1,f8665692d6b73e36,13,18,18,True,0,12,6,0,12,0.6195500492798266,0.5214111578137475,0.4100027912764655,0.16826610871948677,False,True,13,1705,shock
residual_noise_ledger_audit__retain_all_noise_rows__Task4_RC1,7fe4c02db00dd72b,14,18,18,True,0,12,6,0,12,0.6105167134684543,0.5449866945198771,0.4288588166181706,0.15491269297482765,False,True,14,1705,shock
residual_noise_ledger_audit__retain_all_noise_rows__Task4_RC1,beb2e5415345d5d4,15,18,18,True,0,13,5,0,13,0.6265791218576385,0.5541952002781063,0.43195207179585277,0.1656665599000174,False,True,15,1705,shock
residual_noise_ledger_audit__retain_all_noise_rows__Task4_RC1,b72c4f52b1ed35b0,16,18,18,True,0,13,5,0,13,0.621577820606127,0.566965542926859,0.4375537771833798,0.16790220841879022,False,True,16,1705,shock
residual_noise_ledger_audit__retain_all_noise_rows__Task4_RC1,c2c81fe293b317d7,17,18,18,True,0,14,4,0,14,0.623064156514503,0.5621326941875724,0.44193178346380374,0.17485093906120255,False,True,17,1705,shock
residual_noise_ledger_audit__retain_all_noise_rows__Task4_RC1,e6d3216190fb3b2e,18,18,18,True,2,14,2,0,14,0.7455159672484948,0.6410337686399754,0.5198684312723677,0.1789273454563065,False,True,18,1705,shock
residual_noise_ledger_audit__retain_all_noise_rows__Task4_RC1,db0713deb7044503,19,18,18,True,0,18,0,0,18,0.7772987071622931,0.659296577654539,0.5395351981210067,0.1824023764588032,False,True,19,1705,shock
